智能内部卡号,显示内容,显示次数
10000391,a391,1
10000392,a392,1
10000393,a393,1
10000394,a394,1
10000395,a395,1
10000396,a396,1
10000397,a397,1
10000398,a398,1
10000399,a399,1
10000400,a400,1
10000401,a401,1
10000402,a402,1
10000403,a403,1
10000404,a404,1
10000405,a405,1
10000406,a406,1
10000407,a407,1
10000408,a408,1
10000409,a409,1
10000410,a410,1
10000411,a411,1
10000412,a412,1
10000413,a413,1
10000414,a414,1
10000415,a415,1
10000416,a416,1
10000417,a417,1
10000418,a418,1
10000419,a419,1
10000420,a420,1
10000421,a421,1
10000422,a422,1
10000423,a423,1
10000424,a424,1
10000425,a425,1
10000426,a426,1
10000427,a427,1
10000428,a428,1
10000429,a429,1
10000430,a430,1
10000431,a431,1
10000432,a432,1
10000433,a433,1
10000434,a434,1
10000435,a435,1
10000436,a436,1
10000437,a437,1
10000438,a438,1
10000439,a439,1
10000440,a440,1
10000441,a441,1
10000442,a442,1
10000443,a443,1
10000444,a444,1
10000445,a445,1
10000446,a446,1
10000447,a447,1
10000448,a448,1
10000449,a449,1
10000450,a450,1
10000451,a451,1
10000452,a452,1
10000453,a453,1
10000454,a454,1
10000455,a455,1
10000456,a456,1
10000457,a457,1
10000458,a458,1
10000459,a459,1
10000460,a460,1
10000461,a461,1
10000462,a462,1
10000463,a463,1
10000464,a464,1
10000465,a465,1
10000466,a466,1
10000467,a467,1
10000468,a468,1
10000469,a469,1
10000470,a470,1
10000471,a471,1
10000472,a472,1
10000473,a473,1
10000474,a474,1
10000475,a475,1
10000476,a476,1
10000477,a477,1
10000478,a478,1
10000479,a479,1
10000480,a480,1
10000481,a481,1
10000482,a482,1
10000483,a483,1
10000484,a484,1
10000485,a485,1
10000486,a486,1
10000487,a487,1
10000488,a488,1
10000489,a489,1
10000490,a490,1
10000491,a491,1
10000492,a492,1
10000493,a493,1
10000494,a494,1
10000495,a495,1
10000496,a496,1
10000497,a497,1
10000498,a498,1
10000499,a499,1
10000500,a500,1
10000501,a501,1
10000502,a502,1
10000503,a503,1
10000504,a504,1
10000505,a505,1
10000506,a506,1
